Wall time,Step,Value,Smoothed_Value
1733492722.6408515,900,0.3000000119209289,0.07725000135600564
1733493106.247619,905,0.3000000119209289,0.07875000141561028
1733496217.814457,935,0.1500000059604644,0.07950000144541261
1733497242.5904806,945,0.25,0.08075000144541261
1733497753.929885,951,0.3000000119209289,0.08225000150501727
1733497987.4052544,955,0.3499999940395355,0.08400000147521494
1733498716.7951171,966,0.3000000119209289,0.08550000153481958
1733499110.5982287,972,0.3000000119209289,0.08700000159442423
1733499284.005272,973,0.3000000119209289,0.08850000165402885
1733499895.331003,982,0.25,0.08975000165402885
1733500457.9384758,990,0.1500000059604644,0.09050000168383118
1733500763.7783515,995,0.1500000059604644,0.0912500017136335
1733502953.8057826,1016,0.25,0.0925000017136335
1733502956.4010952,1017,0.25,0.0937500017136335
1733503360.558427,1018,0.3000000119209289,0.09525000177323814
1733503518.7910612,1021,0.3499999940395355,0.09700000174343583
1733503848.7703884,1025,0.3000000119209289,0.09850000180304047
1733504012.9603505,1028,0.3000000119209289,0.10000000186264511
1733504292.732176,1036,0.3000000119209289,0.10150000192224976
1733504431.1931145,1039,0.2000000029802322,0.10250000193715092
1733504920.8682644,1042,0.25,0.10375000193715092
1733506030.5626729,1053,0.3000000119209289,0.10525000199675556
1733506589.183941,1059,0.25,0.10650000199675556
1733507241.12289,1065,0.3499999940395355,0.10825000196695324
1733507345.748945,1067,0.3499999940395355,0.11000000193715093
1733507424.8564584,1068,0.3000000119209289,0.11150000199675557
1733507734.4216585,1073,0.3000000119209289,0.11300000205636021
1733507921.209821,1076,0.3499999940395355,0.11475000202655788
1733508046.0095646,1077,0.3499999940395355,0.11650000199675556
1733508166.6791084,1081,0.3000000119209289,0.11800000205636021
1733509146.3965597,1089,0.25,0.11925000205636022
1733510105.2911077,1099,0.1500000059604644,0.12000000208616253
1733510191.6734502,1100,0.2000000029802322,0.1210000021010637
1733510342.7531512,1102,0.2000000029802322,0.12200000211596486
1733510371.3322537,1104,0.2000000029802322,0.12300000213086601
1733510923.9516606,1111,0.3499999940395355,0.1247500021010637
1733511397.969679,1115,0.449999988079071,0.12700000204145906
1733511692.6088402,1118,0.5,0.12950000204145906
1733511740.1988375,1119,0.550000011920929,0.1322500021010637
1733512417.551083,1126,0.4000000059604645,0.13375000212341542
1733513405.9604132,1134,0.2000000029802322,0.13425000213086602
1733513695.5572314,1140,0.1000000014901161,0.13425000213086602
1733513759.020373,1141,0.1000000014901161,0.1347500021383166
1733514575.494691,1149,0.2000000029802322,0.13550000214949245
1733514890.3111267,1151,0.2000000029802322,0.13625000216066835
1733514900.733236,1152,0.2000000029802322,0.13700000217184422
1733515212.6630244,1157,0.25,0.13800000216811892
1733516144.55351,1163,0.3000000119209289,0.13925000222399828
1733516299.7002325,1165,0.25,0.14025000222027298
1733516395.8774054,1167,0.2000000029802322,0.14100000223144885
1733516686.78227,1171,0.3000000119209289,0.1422500022873282
1733517352.021784,1180,0.25,0.1435000022873282
1733517366.8430247,1181,0.25,0.1447500022873282
1733517527.198654,1182,0.25,0.1460000022873282
1733517538.1880355,1183,0.3000000119209289,0.14750000234693286
1733517862.708863,1187,0.3499999940395355,0.14925000231713054
1733518009.1981883,1188,0.4000000059604645,0.15125000234693287
1733518805.0540366,1196,0.25,0.15250000234693284
1733518964.8366752,1199,0.25,0.15375000234693284
1733519501.97163,1205,0.1500000059604644,0.15450000237673517
1733519718.995216,1207,0.2000000029802322,0.15550000239163633
1733519790.5970778,1209,0.1500000059604644,0.15625000242143866
1733520460.0392122,1215,0.2000000029802322,0.15700000243261453
1733520724.59333,1219,0.3000000119209289,0.15825000248849388
1733520984.863099,1221,0.25,0.1592500024847686
1733521661.92999,1234,0.3499999940395355,0.160750002451241
1733521943.702046,1237,0.3000000119209289,0.16200000250712032
1733522156.745582,1239,0.2000000029802322,0.1630000025220215
1733522278.1092007,1243,0.25,0.1642500025220215
1733522633.5599508,1247,0.2000000029802322,0.16525000253692265
1733522939.7068028,1252,0.2000000029802322,0.16625000255182382
1733523076.3717556,1254,0.25,0.16750000255182382
1733523302.2700322,1257,0.2000000029802322,0.16850000256672498
1733523604.6655335,1261,0.25,0.16975000256672498
1733523622.6967711,1262,0.25,0.17100000256672498
1733524418.540698,1269,0.25,0.17225000256672499
1733524553.7749248,1270,0.2000000029802322,0.17325000258162615
1733524597.3832889,1272,0.2000000029802322,0.17425000259652731
1733524689.135423,1274,0.2000000029802322,0.17525000261142845
1733524769.224292,1275,0.2000000029802322,0.17625000262632962
1733525108.75907,1278,0.25,0.17750000262632962
1733525468.152455,1280,0.25,0.17825000261887905
1733526165.108761,1287,0.1500000059604644,0.17850000264123078
1733526563.295472,1293,0.25,0.17925000263378021
1733526564.3902292,1294,0.25,0.18000000262632962
1733526677.0654244,1296,0.25,0.18075000261887905
1733526720.8998055,1297,0.25,0.18150000261142846
1733526789.118992,1298,0.2000000029802322,0.18250000262632962
1733526985.7581506,1300,0.25,0.18375000262632962
1733527331.8355212,1304,0.3499999940395355,0.1855000025965273
1733527724.0480728,1305,0.3499999940395355,0.1870000025629997
1733527748.6088965,1307,0.4000000059604645,0.18875000258907673
1733527836.0792656,1310,0.3499999940395355,0.1902500025555491
1733527959.6370404,1314,0.3499999940395355,0.19150000251829621
1733528041.6151206,1316,0.3000000119209289,0.19250000257045027
1733528221.5596964,1320,0.3000000119209289,0.19350000262260433
1733528509.2068195,1324,0.25,0.19450000261887904
1733528920.0282023,1332,0.3000000119209289,0.1957500026747584
1733529085.5157526,1334,0.25,0.1970000026747584
1733529291.1533604,1339,0.3000000119209289,0.19850000273436305
1733529536.9660213,1340,0.3000000119209289,0.20000000279396768
1733529836.8084917,1346,0.3499999940395355,0.20175000276416535
1733529855.5721772,1347,0.4000000059604645,0.20375000279396768
1733530189.252416,1353,0.4000000059604645,0.20575000282377
1733530370.3253005,1355,0.4000000059604645,0.20775000285357234
1733530795.2251728,1358,0.449999988079071,0.2097500027902424
1733530892.8955052,1362,0.4000000059604645,0.21125000281259415
1733531304.2993147,1369,0.2000000029802322,0.21175000282004472
1733531365.1315992,1370,0.2000000029802322,0.21200000280514356
1733531858.6928213,1377,0.3000000119209289,0.21275000283494588
1733532019.9611678,1379,0.3000000119209289,0.21375000288709994
1733532465.3748093,1382,0.25,0.21475000288337465
1733532480.509482,1383,0.25,0.21575000287964938
1733532503.27097,1384,0.3000000119209289,0.2170000029355287
1733533692.565725,1395,0.550000011920929,0.2192500029876828
1733534435.9357452,1403,0.4000000059604645,0.22075000301003453
1733534438.7003798,1404,0.4000000059604645,0.22250000303611156
1733534688.130089,1407,0.3000000119209289,0.22375000309199092
1733534833.161733,1408,0.3499999940395355,0.2252500030584633
1733534849.9448242,1409,0.3000000119209289,0.22600000308826562
1733534991.7672858,1412,0.3000000119209289,0.22675000311806795
1733535207.1921437,1416,0.25,0.22725000308826562
1733535273.2570071,1418,0.2000000029802322,0.22725000308826562
1733535283.2795837,1419,0.25,0.2277500030584633
1733535901.5891068,1427,0.3499999940395355,0.2290000030212104
1733536014.4828146,1428,0.3000000119209289,0.23000000307336446
1733536049.5765314,1429,0.3000000119209289,0.23125000312924382
1733536299.3131454,1432,0.3000000119209289,0.23250000318512318
1733536329.197126,1433,0.3000000119209289,0.23375000324100254
1733536411.7979689,1434,0.3000000119209289,0.2347500032931566
1733536882.6338458,1439,0.25,0.235500003285706
1733536923.736003,1441,0.25,0.23650000328198073
1733537136.1821337,1444,0.25,0.23725000327453014
1733537304.0005825,1445,0.2000000029802322,0.238000003285706
1733537481.9830556,1446,0.1500000059604644,0.23850000331178303
1733537707.550228,1448,0.1500000059604644,0.23900000333786006
1733537863.2532506,1451,0.1500000059604644,0.2395000033639371
1733538291.483143,1454,0.1000000014901161,0.2397500033676624
1733539180.4019558,1460,0.2000000029802322,0.24075000338256355
1733539306.1693008,1461,0.2000000029802322,0.24175000339746472
1733539314.1766706,1462,0.1500000059604644,0.24250000342726705
1733539642.2313297,1464,0.2000000029802322,0.2435000034421682
1733540043.719068,1466,0.25,0.24450000343844291
1733540072.351889,1467,0.25,0.24525000343099232
1733540680.7371078,1472,0.4000000059604645,0.24675000345334408
1733540710.1030288,1473,0.4000000059604645,0.2482500034756958
1733540819.6653657,1474,0.449999988079071,0.2500000034086406
1733540879.6966822,1475,0.5,0.25100000334903594
1733540914.293621,1476,0.449999988079071,0.2520000032894313
1733541590.7774086,1480,0.550000011920929,0.2537500033341348
1733541739.8508964,1482,0.550000011920929,0.25550000337883827
1733541972.3399816,1485,0.550000011920929,0.2570000034384429
1733542703.1778977,1492,0.5,0.2582500034384429
1733542985.4690275,1495,0.5,0.25975000342354176
1733543672.6087298,1499,0.449999988079071,0.26100000334903595
1733543809.2956345,1501,0.4000000059604645,0.2620000033639371
1733544042.2301228,1503,0.4000000059604645,0.26275000339373944
1733544115.65713,1505,0.3499999940395355,0.2632500033639371
1733544237.0993934,1506,0.3499999940395355,0.26350000327453016
1733544256.172398,1508,0.449999988079071,0.2642500031553208
1733544647.1365964,1511,0.3499999940395355,0.2650000031106174
1733544868.3753,1513,0.4000000059604645,0.26625000311061736
1733544930.6710594,1515,0.3499999940395355,0.26725000305101276
1733545723.9678123,1523,0.449999988079071,0.2687500029616058
1733545796.879844,1524,0.449999988079071,0.2702500028721988
1733546487.9157877,1531,0.449999988079071,0.2717500027827919
1733546565.547104,1534,0.4000000059604645,0.27300000278279185
1733546919.4817193,1537,0.5,0.27475000275298955
1733546945.9031324,1538,0.5,0.27625000273808836
1733547182.3470938,1540,0.5,0.27775000272318723
1733547225.6643054,1541,0.449999988079071,0.2790000026486814
1733547263.292622,1542,0.449999988079071,0.28000000258907676
1733547610.4879446,1546,0.5,0.2815000025741756
1733547648.7621388,1549,0.5,0.28300000255927443
1733548020.71453,1553,0.5,0.28425000255927446
1733548356.7361965,1560,0.449999988079071,0.2852500024996698
1733548606.6890922,1562,0.449999988079071,0.28625000244006515
1733548763.9708796,1563,0.4000000059604645,0.28700000246986745
1733548795.7630048,1564,0.3499999940395355,0.2875000024400651
1733549004.6567802,1568,0.3499999940395355,0.28875000240281223
1733549189.413931,1570,0.4000000059604645,0.2905000024288893
1733549420.0636902,1571,0.3499999940395355,0.2917500023916364
1733549909.9595492,1576,0.3499999940395355,0.2932500023581088
1733549948.7075944,1577,0.3499999940395355,0.2942500022985041
1733550169.5502982,1578,0.4000000059604645,0.2955000022985041
1733550196.8474283,1579,0.3499999940395355,0.2965000022388995
1733550521.6400158,1583,0.3000000119209289,0.2972500022687018
1733550523.7550657,1584,0.3000000119209289,0.2975000023283064
1733550636.2502992,1586,0.3000000119209289,0.2977500023879111
1733550930.2539334,1587,0.3000000119209289,0.29800000244751573
1733550989.2495356,1589,0.3000000119209289,0.29825000250712036
1733551000.784418,1590,0.3499999940395355,0.29900000246241687
1733551381.1631188,1594,0.3000000119209289,0.30000000251457093
1733551544.3663306,1597,0.449999988079071,0.30200000245124103
1733551638.2929068,1599,0.5,0.3042500024475157
1733552013.1760056,1603,0.6000000238418579,0.30700000256299975
1733552087.224928,1604,0.6000000238418579,0.3095000026747584
1733552605.539568,1609,0.6000000238418579,0.3120000027865171
1733552700.7288146,1610,0.550000011920929,0.3142500028386712
1733552710.8785076,1611,0.550000011920929,0.31625000286847355
1733552749.74801,1612,0.550000011920929,0.3175000028684735
1733552856.3304846,1614,0.6000000238418579,0.3190000029280782
1733553202.740997,1622,0.4000000059604645,0.32025000292807815
1733553691.7288003,1625,0.449999988079071,0.32125000286847355
1733554062.6475325,1627,0.5,0.3222500028088689
1733554084.9078972,1629,0.5,0.3230000028386712
1733554134.6438231,1630,0.550000011920929,0.3242500028386712
1733554449.0514944,1634,0.6000000238418579,0.3257500028982758
1733554502.385957,1635,0.550000011920929,0.32700000289827585
